texto,tipo
Solicitarán apoyo para 3 mil afectados por fuertes lluvias registradas en Santa María Jacatepec,0
Un muerto y daños materiales en accidente sobre el tramo de la autopista Ocozocoautla - Arriaga,0
"Alerta Protección civil de probables inundaciones en zonas bajas de Jacatepec, Chiltepec y Tuxtepec",6
Protección Civil mantiene monitoreo de niveles de afluentes en la Costa por constantes lluvias,0
Extorsión mediante apps de préstamo; la nueva modalidad del crimen organizado para cometer fraude,0
"Solicitan diputados a las autoridades estatales y federales, apoyar a damnificados por el huracán Grace",6
"Corto circuito provoca incendio en bodega de frutas y verduras de Matías Romero, Oaxaca",0
Muere menor en accidente en Tapachula,0
"Oaxaca, con 17 municipios afectados por lluvias: Alejandro Mura",0
"Por lluvias, gobierno de Oaxaca solicita declaratoria de emergencia en 46 municipios",0
"Luego de accidente, abandonan taxi en un barranco de Huajuapan de León, Oaxaca",0
"VIDEO: ""Una noche de horror"", delincuentes asaltan bancos y utilizan a rehenes como escudos humanos en Brasil",0
Fuertes vientos y mal estado de salud provocan colapso de higo emblemático de Oaxaca,0
"Solo daños materiales en choque, en Cacahoatán",0
Gobierno de Oaxaca pide declaratoria de emergencia por fuertes lluvias,0
Un joven murió electrocutado en Valle Nacional,0
"Dos lesionados y daños materiales deja choque de camioneta contra retroexcavadora en Juchitán, Oaxaca",0
"El Huipil de Valle Nacional, en peligro de extinción; solo ocho personas luchan por su rescate",0
"Dejaría ""Nicholas"" más inundaciones, alerta Conagua",6
Mueren dos personas en volcadura en San Cristóbal Amatlán,0
Graves inundaciones en el Istmo de Tehuantepec; pobladores piden ayuda,0
Vinculan a proceso a hombre imputado por violencia familiar en la Costa,0
Dos menores de edad perdieron la vida en fatal accidente,0
Derrumbes impiden acceso a comunidad de la Mixteca,0
Sigue CAO atendiendo derrumbes por lluvias en Oaxaca,0
OAXACA: sexoservidora termina lesionada por riña,0
En Chiapas invitan a la ciudadanía al segundo Simulacro Nacional de Sismo 2021,0
"""¡Arreglen los semáforos!"", exigen ciudadanos ante riesgo de accidentes por lluvias",0
"Volcadura deja 20 heridos en Oaxaca, entre ellos migrantes",0
Trabaja Oaxaca en fortalecer capacidad de respuesta ante emergencias,0
Conductor ebrio estrella su camioneta contra estructura municipal en el Istmo,0
Desastroso choque en la avenida 18 de marzo de Tuxtepec (vídeo),0
Un lesionado y daños materiales deja volcadura en el tramo Villa Comaltitlán - Huixtla,0
La conmovedora historia de 'Pay de Limón': el perro mutilado por los Zetas y rescatado por el albergue que colapsó en Xochimilco,0
Se reportan dos suicidios en la entidad: uno en la Costa y otro en Santa Cruz Xoxocotlán,0
Hombre murió dentro de una ambulancia en Xoxocotlán,0
Solicita Jalisco declaratoria de emergencia en 18 municipios por Nora,0
Gobierno de Oaxaca solicitará declaratoria de emergencia para 18 municipios por lluvias,0
Patrulla de la Guardia Nacional sufre accidente en Miahuatlán; reportan a una persona fallecida,0
Choque en Avenida Ferrocarril deja un hombre muerto y un menor herido,0
FGEO rescata a dos mujeres víctimas del delito de trata de personas; estaban en un bar en San Pablo Guilá,0
"Con el aumento de lluvias en el estado por tormenta tropical, alertan por inundaciones",6
Indajani vence al líder Guerreros en choque de la Liga de Futbol de Santo Domingo Tehuantepec,0
"Mujer lava carros sufre convulsiones en la colonia del Sol, en Loma Bonita",0
"Infraestructura escolar, de las más dañadas por el sismo del 7 de septiembre: SEP",6
Sufre accidente repartidora de moles mientras viajaba en su moto en riberas del río Atoyac,0
Mujer pierde la vida en volcadura de autobús en San Pedro Tapanatepec,0
Alcoholizados provocan choque y volcadura en Oaxaca,0
Responde familia judicial al llamado en beneficio de damnificados,0
"Deja ""Ida"" muerte y destrucción en EE. UU; gobierno declara estado de emergencia",0
"Un agente muerto y un lesionado de gravedad, el saldo tras volcadura de unidad de la GN en Miahuatlán",0
Vinculan a proceso a adolescente involucrado en homicidio de elemento de PABIC en Pochutla,0
Taxistas sufren accidente en calle Casimiro Ramírez de Huajuapan,0
El SSN reporta 150 réplicas tras el sismo; la más intensa magnitud 5. 2,6
