texto,tipo
Solicitarán apoyo para 3 mil afectados por fuertes lluvias registradas en Santa María Jacatepec,Accidentes e Incidentes
Un muerto y daños materiales en accidente sobre el tramo de la autopista Ocozocoautla - Arriaga,Accidentes e Incidentes
"Alerta Protección civil de probables inundaciones en zonas bajas de Jacatepec, Chiltepec y Tuxtepec",Desastres naturales
Protección Civil mantiene monitoreo de niveles de afluentes en la Costa por constantes lluvias,Accidentes e Incidentes
Extorsión mediante apps de préstamo; la nueva modalidad del crimen organizado para cometer fraude,Accidentes e Incidentes
"Solicitan diputados a las autoridades estatales y federales, apoyar a damnificados por el huracán Grace",Desastres naturales
"Corto circuito provoca incendio en bodega de frutas y verduras de Matías Romero, Oaxaca",Accidentes e Incidentes
Muere menor en accidente en Tapachula,Accidentes e Incidentes
"Oaxaca, con 17 municipios afectados por lluvias: Alejandro Mura",Accidentes e Incidentes
"Por lluvias, gobierno de Oaxaca solicita declaratoria de emergencia en 46 municipios",Accidentes e Incidentes
"Luego de accidente, abandonan taxi en un barranco de Huajuapan de León, Oaxaca",Accidentes e Incidentes
"VIDEO: ""Una noche de horror"", delincuentes asaltan bancos y utilizan a rehenes como escudos humanos en Brasil",Accidentes e Incidentes
Fuertes vientos y mal estado de salud provocan colapso de higo emblemático de Oaxaca,Accidentes e Incidentes
"Solo daños materiales en choque, en Cacahoatán",Accidentes e Incidentes
Gobierno de Oaxaca pide declaratoria de emergencia por fuertes lluvias,Accidentes e Incidentes
Un joven murió electrocutado en Valle Nacional,Accidentes e Incidentes
"Dos lesionados y daños materiales deja choque de camioneta contra retroexcavadora en Juchitán, Oaxaca",Accidentes e Incidentes
"El Huipil de Valle Nacional, en peligro de extinción; solo ocho personas luchan por su rescate",Accidentes e Incidentes
"Dejaría ""Nicholas"" más inundaciones, alerta Conagua",Desastres naturales
Mueren dos personas en volcadura en San Cristóbal Amatlán,Accidentes e Incidentes
Graves inundaciones en el Istmo de Tehuantepec; pobladores piden ayuda,Accidentes e Incidentes
Vinculan a proceso a hombre imputado por violencia familiar en la Costa,Accidentes e Incidentes
Dos menores de edad perdieron la vida en fatal accidente,Accidentes e Incidentes
Derrumbes impiden acceso a comunidad de la Mixteca,Accidentes e Incidentes
Sigue CAO atendiendo derrumbes por lluvias en Oaxaca,Accidentes e Incidentes
OAXACA: sexoservidora termina lesionada por riña,Accidentes e Incidentes
En Chiapas invitan a la ciudadanía al segundo Simulacro Nacional de Sismo 2021,Accidentes e Incidentes
"""¡Arreglen los semáforos!"", exigen ciudadanos ante riesgo de accidentes por lluvias",Accidentes e Incidentes
"Volcadura deja 20 heridos en Oaxaca, entre ellos migrantes",Accidentes e Incidentes
Trabaja Oaxaca en fortalecer capacidad de respuesta ante emergencias,Accidentes e Incidentes
Conductor ebrio estrella su camioneta contra estructura municipal en el Istmo,Accidentes e Incidentes
Desastroso choque en la avenida 18 de marzo de Tuxtepec (vídeo),Accidentes e Incidentes
Un lesionado y daños materiales deja volcadura en el tramo Villa Comaltitlán - Huixtla,Accidentes e Incidentes
La conmovedora historia de 'Pay de Limón': el perro mutilado por los Zetas y rescatado por el albergue que colapsó en Xochimilco,Accidentes e Incidentes
Se reportan dos suicidios en la entidad: uno en la Costa y otro en Santa Cruz Xoxocotlán,Accidentes e Incidentes
Hombre murió dentro de una ambulancia en Xoxocotlán,Accidentes e Incidentes
Solicita Jalisco declaratoria de emergencia en 18 municipios por Nora,Accidentes e Incidentes
Gobierno de Oaxaca solicitará declaratoria de emergencia para 18 municipios por lluvias,Accidentes e Incidentes
Patrulla de la Guardia Nacional sufre accidente en Miahuatlán; reportan a una persona fallecida,Accidentes e Incidentes
Choque en Avenida Ferrocarril deja un hombre muerto y un menor herido,Accidentes e Incidentes
FGEO rescata a dos mujeres víctimas del delito de trata de personas; estaban en un bar en San Pablo Guilá,Accidentes e Incidentes
"Con el aumento de lluvias en el estado por tormenta tropical, alertan por inundaciones",Desastres naturales
Indajani vence al líder Guerreros en choque de la Liga de Futbol de Santo Domingo Tehuantepec,Accidentes e Incidentes
"Mujer lava carros sufre convulsiones en la colonia del Sol, en Loma Bonita",Accidentes e Incidentes
"Infraestructura escolar, de las más dañadas por el sismo del 7 de septiembre: SEP",Desastres naturales
Sufre accidente repartidora de moles mientras viajaba en su moto en riberas del río Atoyac,Accidentes e Incidentes
Mujer pierde la vida en volcadura de autobús en San Pedro Tapanatepec,Accidentes e Incidentes
Alcoholizados provocan choque y volcadura en Oaxaca,Accidentes e Incidentes
Responde familia judicial al llamado en beneficio de damnificados,Accidentes e Incidentes
"Deja ""Ida"" muerte y destrucción en EE. UU; gobierno declara estado de emergencia",Accidentes e Incidentes
"Un agente muerto y un lesionado de gravedad, el saldo tras volcadura de unidad de la GN en Miahuatlán",Accidentes e Incidentes
